time;gFx;gFy;gFz;TgF
6,981;0,0756;0,1739;0,939;0,958
6,996;0,08;0,1719;0,9401;0,959
7,03;0,0815;0,1725;0,9401;0,959
7,042;0,0769;0,1728;0,9422;0,961
7,061;0,0757;0,1719;0,9455;0,964
7,09;0,0779;0,1697;0,946;0,964
7,107;0,0747;0,1668;0,946;0,963
7,124;0,0734;0,1705;0,9484;0,966
7,165;0,0759;0,1719;0,9481;0,967
7,169;0,0764;0,1674;0,9473;0,965
7,188;0,0781;0,1674;0,944;0,962
7,202;0,0767;0,1761;0,9426;0,962
7,226;0,0684;0,1817;0,9382;0,958
7,25;0,0772;0,1704;0,9351;0,954
7,268;0,079;0,1671;0,9312;0,949
7,286;0,0718;0,1743;0,9319;0,951
7,339;0,0688;0,1817;0,9362;0,956
7,345;0,0755;0,1803;0,9355;0,956
7,347;0,0769;0,1742;0,9367;0,956
7,361;0,0761;0,1667;0,9399;0,958
7,393;0,0719;0,1664;0,9456;0,963
7,413;0,0728;0,168;0,9449;0,962
7,422;0,0789;0,1722;0,9474;0,966
7,449;0,0781;0,1758;0,9479;0,967
7,475;0,0751;0,17;0,943;0,961
7,487;0,0732;0,1621;0,9411;0,958
7,503;0,0757;0,1647;0,9391;0,956
7,534;0,0784;0,174;0,938;0,957
7,55;0,0813;0,1752;0,9362;0,956
7,566;0,0776;0,1715;0,9374;0,956
7,597;0,0726;0,17;0,9381;0,956
7,619;0,0754;0,1697;0,9398;0,958
7,628;0,0811;0,1672;0,9398;0,958
7,645;0,0787;0,1675;0,9421;0,96
7,66;0,08;0,168;0,9421;0,96
7,712;0,0776;0,1671;0,9411;0,959
7,715;0,0752;0,1681;0,9381;0,956
7,723;0,0757;0,1676;0,9427;0,96
7,758;0,0821;0,17;0,9441;0,963
7,774;0,0826;0,1693;0,946;0,965
7,787;0,0776;0,1668;0,9484;0,966
7,801;0,0727;0,1678;0,9499;0,967
7,835;0,0709;0,1655;0,9509;0,968
7,85;0,0733;0,1638;0,9451;0,962
7,874;0,0695;0,1688;0,944;0,961
7,881;0,0721;0,1643;0,9402;0,957
7,916;0,0771;0,1631;0,9377;0,955
7,928;0,081;0,1681;0,9372;0,956
7,945;0,0789;0,17;0,9412;0,96
7,979;0,0738;0,166;0,9401;0,957
7,993;0,069;0,1641;0,9388;0,956
8,01;0,075;0,1677;0,9374;0,955
8,027;0,0781;0,17;0,9381;0,957
8,084;0,0761;0,1641;0,9419;0,959
8,087;0,0761;0,1641;0,939;0,956
8,088;0,0761;0,1655;0,9428;0,96
8,114;0,0761;0,1661;0,944;0,962
8,135;0,0776;0,1641;0,944;0,961
8,15;0,0761;0,1661;0,945;0,963
8,168;0,0761;0,1665;0,9475;0,965
8,2;0,0762;0,1601;0,9495;0,966
8,213;0,0774;0,1589;0,944;0,96
8,23;0,0796;0,1626;0,944;0,961
8,257;0,082;0,1641;0,9457;0,963
8,278;0,0792;0,1644;0,9476;0,965
8,295;0,0734;0,1653;0,9452;0,962
8,309;0,0736;0,1613;0,9426;0,959
8,325;0,076;0,164;0,9383;0,956
8,364;0,0761;0,1646;0,9401;0,957
8,371;0,0761;0,1651;0,9411;0,958
8,39;0,0761;0,1641;0,9421;0,959
8,42;0,0742;0,1661;0,9342;0,952
8,443;0,0742;0,1661;0,9342;0,952
8,452;0,0742;0,1661;0,9354;0,953
