time;gFx;gFy;gFz;TgF
163,994;0,1627;0,3084;0,9408;1,003
164,012;0,3779;0,185;0,9584;1,047
164,026;0,2709;0,2371;0,9627;1,028
164,043;0,2185;0,3149;0,912;0,989
164,073;0,2748;0,3169;0,9693;1,056
164,088;0,3302;0,2967;1,0166;1,109
164,106;0,3914;0,3885;0,9066;1,061
164,122;0,4825;0,4365;0,942;1,145
164,152;0,3852;0,4216;0,9262;1,088
164,168;0,4155;0,2787;0,9362;1,061
164,184;0,3209;0,278;0,8345;0,936
164,221;0,5076;0,1432;0,8075;0,964
164,232;0,3302;0,3028;0,8903;0,997
164,247;0,3337;0,2094;0,8515;0,938
164,265;0,3742;0,055;0,6932;0,79
164,296;0,2206;0,2344;0,773;0,837
164,314;0,3303;0,1972;0,9139;0,992
164,328;0,4222;0,1966;0,8806;0,996
164,342;0,4704;0,1671;0,895;1,025
164,375;0,2897;0,192;0,8884;0,954
164,391;0,2342;0,1457;0,9143;0,955
164,406;0,2397;0,101;0,8629;0,901
164,44;0,2911;0,0171;0,8823;0,929
164,454;0,2756;0,0078;0,9104;0,951
164,469;0,2375;0,0652;0,8601;0,895
164,484;0,3203;0,1325;0,7936;0,866
164,519;0,3764;0,1544;0,824;0,919
164,533;0,3198;0,172;0,8779;0,95
164,553;0,2091;0,2266;0,875;0,928
164,563;0,2521;0,2513;0,8479;0,92
164,597;0,2736;0,2208;0,8473;0,917
164,616;0,225;0,138;0,9063;0,944
164,628;0,1777;0,1158;0,895;0,92
164,666;0,1992;0,1126;0,8595;0,889
164,675;0,192;0,0733;0,8586;0,883
164,694;0,1628;-0,0066;0,9285;0,943
164,705;0,1421;-0,0538;0,9524;0,964
164,741;0,2399;-0,0404;0,964;0,994
164,756;0,1695;-0,0138;1,0188;1,033
164,772;0,0374;-0,0033;1,0489;1,05
164,785;-0,0443;0,0016;1,0143;1,015
164,818;0,1016;0,0434;1,0644;1,07
164,835;0,0573;0,0826;1,1114;1,116
164,849;-0,0626;0,0996;1,1325;1,139
164,883;-0,1589;0,0619;1,1025;1,116
164,899;-0,0946;0,0511;1,0984;1,104
164,912;-0,0476;0,0651;1,0661;1,069
164,929;-0,0659;0,09;1,0587;1,065
164,96;-0,1127;0,0818;1,059;1,068
164,979;-0,0496;0,0843;1,0301;1,035
164,993;0,03;0,1167;1,0092;1,016
165,016;0,0092;0,1606;1,0217;1,034
165,044;-0,0239;0,1542;1,0055;1,018
165,056;-0,0694;0,1203;0,99;1
165,074;-0,0185;0,1104;0,9866;0,993
165,104;0,0028;0,131;1,017;1,025
165,117;-0,0918;0,1798;1,0339;1,053
165,139;-0,1542;0,1615;1,0191;1,043
165,165;-0,1221;0,1234;0,9247;0,941
165,18;-0,1264;0,1313;0,8753;0,894
165,195;-0,1747;0,1163;0,942;0,965
165,215;-0,2009;0,104;0,9688;0,995
165,228;-0,1866;0,0885;0,9713;0,993
165,26;-0,2251;0,0821;0,919;0,95
165,276;-0,2327;0,0811;0,8873;0,921
165,292;-0,1905;0,0392;0,9236;0,944
165,323;-0,2006;0,0342;0,9543;0,976
165,341;-0,1745;0,0609;0,9537;0,971
165,358;-0,1429;0,0731;0,9063;0,92
165,37;-0,1146;0,0909;0,8811;0,893
165,403;-0,1129;0,1138;0,8835;0,898
165,418;-0,095;0,1217;0,8689;0,882
165,434;-0,0838;0,11;0,8989;0,91
165,451;-0,0731;0,0776;0,9219;0,928
165,483;-0,0351;0,0449;0,9254;0,927
165,499;-0,0137;0,0654;0,9285;0,931
165,512;-0,047;0,039;0,9707;0,973
165,544;-0,2252;-0,0477;1,1135;1,137
165,564;-0,4593;-0,1968;1,2692;1,364
165,582;-0,3263;-0,1605;1,1026;1,161
165,593;0,0862;0,0302;0,7556;0,761
165,625;0,2578;-0,0488;0,866;0,905
165,645;0,1133;0,0275;0,8187;0,827
165,658;0,057;0,1457;0,7159;0,733
165,674;0,1153;-0,0108;0,7577;0,766
165,706;0,0814;-0,2039;0,9013;0,928
165,719;0,1681;-0,2532;1,0307;1,075
165,738;0,1418;-0,253;1,0752;1,114
165,766;0,1468;-0,2664;0,943;0,991
165,787;0,2531;-0,2848;0,9023;0,979
165,796;0,27;-0,258;0,9045;0,979
165,82;0,1939;-0,2205;0,8962;0,943
165,847;0,0868;-0,2129;0,8761;0,906
165,861;0,0213;-0,2261;0,8602;0,89
165,878;-0,0043;-0,2456;0,8875;0,921
165,892;0,0301;-0,2654;0,8858;0,925
165,924;0,0314;-0,1875;0,799;0,821
165,943;0,0076;-0,1682;0,7405;0,759
165,961;0,0339;-0,177;0,7103;0,733
165,989;0,0298;-0,1623;0,7068;0,726
166,01;-0,0294;-0,1701;0,7356;0,756
166,02;-0,0017;-0,2343;0,7714;0,806
166,036;0,0472;-0,345;0,7562;0,833
166,069;0,0525;-0,3305;0,6839;0,761
166,082;0,0061;-0,2227;0,713;0,747
166,097;-0,0159;-0,1601;0,7689;0,786
166,114;-0,0253;-0,1677;0,835;0,852
166,147;-0,0377;-0,2223;0,9038;0,932
166,164;-0,0006;-0,2387;0,9758;1,005
166,185;0,1281;-0,2893;1,0806;1,126
166,211;0,2313;-0,3329;1,1652;1,234
166,228;0,2683;-0,3029;1,1361;1,206
166,244;0,2633;-0,2444;1,1542;1,209
166,258;0,2999;-0,1255;1,2402;1,282
166,291;0,3551;-0,0518;1,3678;1,414
166,31;0,3251;-0,1063;1,4274;1,468
166,32;0,3056;-0,2396;1,4495;1,501
166,342;0,324;-0,3195;1,456;1,525
166,368;0,3337;-0,3091;1,4285;1,499
166,383;0,3565;-0,2758;1,419;1,489
166,399;0,3638;-0,2693;1,4412;1,511
166,432;0,3278;-0,2812;1,4408;1,504
166,449;0,2948;-0,244;1,3825;1,435
166,461;0,2712;-0,2052;1,3007;1,344
166,478;0,2554;-0,2055;1,2105;1,254
166,508;0,2308;-0,1878;1,1517;1,19
166,524;0,2509;-0,127;1,2175;1,25
166,54;0,2548;-0,069;1,1869;1,216
166,571;0,2079;0,0348;0,9482;0,971
166,588;0,1364;0,1341;0,7328;0,757
166,602;0,1574;0,164;0,6676;0,705
166,62;0,3013;0,0845;0,76;0,822
166,651;0,3513;-0,0529;0,8439;0,916
166,67;0,1884;0,0341;0,7184;0,743
166,683;0,1294;0,2729;0,5978;0,67
166,699;0,2217;0,416;0,6211;0,78
166,732;0,2568;0,3437;0,7515;0,865
166,748;0,2483;0,2458;0,8737;0,941
166,761;0,298;0,2558;0,9423;1,021
166,777;0,396;0,2968;1,0062;1,121
166,81;0,4516;0,375;0,9324;1,102
166,826;0,396;0,3258;0,8541;0,996
166,844;0,3108;0,1996;0,8065;0,887
166,874;0,2706;0,0913;0,8227;0,871
166,888;0,3059;0,1542;0,9148;0,977
166,906;0,38;0,2049;0,982;1,073
166,921;0,4112;0,1934;0,9179;1,024
166,952;0,4562;0,1312;0,8789;0,999
166,969;0,5773;0,0421;0,8573;1,034
166,985;0,6073;0,0168;0,7539;0,968
167;0,427;0,0661;0,6688;0,796
167,031;0,2176;0,0558;0,7176;0,752
167,047;0,1197;0,1076;0,7627;0,78
167,064;0,1353;0,1763;0,7729;0,804
167,094;0,292;-0,0159;0,9603;1,004
167,11;0,2076;-0,0913;1,0215;1,046
167,126;-0,0853;0,2023;0,8159;0,845
167,142;0,03;0,0741;1,0649;1,068
167,173;-0,2132;0,3304;0,776;0,87
167,19;-0,2337;0,1983;0,7789;0,837
167,205;-0,1511;0,0782;0,9948;1,009
167,237;-0,1867;0,0959;1,1141;1,134
167,255;-0,3011;0,0873;1,1069;1,15
167,273;-0,3389;-0,0383;1,0737;1,127
167,288;-0,2248;-0,0674;1,0695;1,095
167,317;-0,2252;-0,0033;0,9979;1,023
167,334;-0,1364;0,0184;0,9492;0,959
167,349;-0,1476;-0,0363;0,9454;0,958
167,364;-0,2687;-0,119;1,0057;1,048
167,396;-0,32;-0,1378;1,0869;1,141
167,411;-0,271;-0,2161;1,1134;1,166
167,427;-0,29;-0,2478;1,0849;1,15
167,457;-0,4132;-0,2379;1,0486;1,152
167,473;-0,5358;-0,1236;1,2312;1,348
167,489;-0,5221;-0,0484;1,2018;1,311
167,505;-0,4207;-0,0452;1,0381;1,121
167,536;-0,3235;-0,1242;0,985;1,044
167,552;-0,3309;-0,103;0,9165;0,98
167,568;-0,3486;-0,067;0,9184;0,985
167,585;-0,4404;-0,0587;1,0076;1,101
167,615;-0,5284;-0,1165;1,1144;1,239
167,633;-0,6599;-0,0977;1,1547;1,334
167,646;-0,7567;-0,0502;1,1883;1,41
167,679;-0,8213;0,0321;1,2135;1,466
167,696;-0,8531;0,1233;1,1822;1,463
167,711;-0,8589;0,1833;1,1429;1,441
167,73;-0,8325;0,2243;1,1122;1,407
167,759;-0,8285;0,2632;1,0707;1,379
167,775;-0,8733;0,3272;1,0221;1,384
167,795;-0,908;0,3792;1,0052;1,407
167,807;-0,9346;0,3963;0,9813;1,412
167,839;-0,928;0,3772;0,9668;1,392
167,856;-0,9385;0,3496;0,9498;1,38
167,872;-0,9285;0,3347;0,9431;1,365
167,901;-0,8989;0,3362;0,9242;1,332
167,92;-0,8701;0,3473;0,8874;1,29
167,934;-0,8605;0,3794;0,8484;1,267
167,948;-0,8529;0,3973;0,8245;1,251
167,983;-0,8159;0,4011;0,8205;1,225
167,997;-0,7652;0,4219;0,8146;1,195
168,013;-0,7353;0,4178;0,8676;1,212
168,029;-0,729;0,3995;0,9039;1,228
168,062;-0,7213;0,419;0,8995;1,227
168,08;-0,6654;0,4262;0,901;1,198
168,092;-0,6163;0,4031;0,901;1,164
168,123;-0,6153;0,3626;0,9246;1,168
168,14;-0,5856;0,4325;0,9321;1,183
168,155;-0,566;0,5906;0,9295;1,238
168,169;-0,759;0,7481;0,8309;1,351
168,205;-1,0336;0,6187;0,8352;1,466
168,217;-0,9322;0,4088;0,9623;1,401
168,235;-0,888;0,2291;0,9336;1,309
168,254;-0,9561;0,3434;0,8373;1,316
168,282;-0,8371;0,5287;0,7743;1,257
168,301;-0,5117;0,6867;0,7588;1,144
168,318;-0,322;0,8362;0,6927;1,133
168,346;-0,3424;1,0619;0,6715;1,302
168,364;-0,4891;1,3299;0,5539;1,521
168,378;-0,3477;1,2895;0,6444;1,483
168,395;-0,3912;1,3549;0,6478;1,552
168,433;-0,3268;1,6925;0,2752;1,746
168,446;-0,0665;1,712;0,165;1,721
168,463;0,0125;1,5458;0,2513;1,566
168,47;0,0345;1,3935;0,3313;1,433
168,504;0,2695;1,285;0,5694;1,431
168,522;0,2039;1,3407;0,6083;1,486
168,537;0,2392;1,2964;0,6795;1,483
168,568;0,3406;1,2359;0,6875;1,455
168,587;0,2942;1,1586;0,7824;1,429
168,601;0,2603;1,0936;0,8212;1,392
168,615;0,2189;0,9771;0,8003;1,282
168,646;0,2306;0,7867;0,7895;1,138
168,662;0,1329;0,6589;0,7847;1,033
168,677;-0,0007;0,5811;0,7961;0,986
168,694;-0,0464;0,5325;0,7421;0,915
168,731;0,0865;0,4051;0,8174;0,916
168,739;0,0334;0,2513;0,8597;0,896
168,755;-0,1077;0,1483;0,9252;0,943
168,789;-0,2028;0,0987;0,9471;0,974
168,812;-0,1962;0,0763;0,9858;1,008
168,824;-0,2211;0,1679;0,841;0,886
168,839;0,0187;0,1649;0,6156;0,638
168,868;-0,1429;0,2595;0,7967;0,85
168,887;-0,2951;0,42;0,9923;1,117
168,898;-0,6951;0,797;0,2965;1,098
168,917;-0,1762;0,1059;1,4111;1,426
168,947;0,2453;-0,1846;0,91;0,96
168,972;0,3288;-0,2501;0,6486;0,769
168,977;0,397;-0,3043;0,9356;1,061
169,011;-0,1827;-0,0144;2,2799;2,287
169,027;0,318;0,0256;1,0112;1,06
169,041;0,556;-0,2704;0,8048;1,015
169,057;0,5168;-0,3412;0,8282;1,034
169,091;0,3663;-0,5579;0,7274;0,987
169,104;0,1599;-0,3373;1,0536;1,118
169,12;0,0617;0,0378;1,2328;1,235
169,136;0,2882;-0,1467;0,9814;1,033
169,167;0,4846;-0,43;0,9146;1,121
169,183;0,0367;-0,0456;0,9245;0,926
169,198;-0,2931;0,3359;1,158;1,241
169,231;-0,0944;0,2752;1,1021;1,14
169,255;0,0976;-0,0724;1,0972;1,104
169,263;0,1219;-0,1212;1,1511;1,164
169,278;0,2097;0,0701;1,1379;1,159
169,31;0,2365;0,0181;1,071;1,097
169,332;0,1785;-0,1314;1,0082;1,032
169,34;0,3118;-0,1775;1,0316;1,092
169,358;0,4364;-0,1364;1,1005;1,192
169,396;0,4818;-0,1827;1,0552;1,174
169,404;0,4913;-0,2464;0,979;1,123
169,421;0,4926;-0,2837;0,9885;1,14
169,454;0,5479;-0,3444;1,0099;1,199
169,469;0,5043;-0,4042;0,9688;1,165
169,484;0,4176;-0,3431;0,9624;1,104
169,501;0,3896;-0,2598;0,9633;1,071
169,532;0,3941;-0,3033;0,9778;1,097
169,556;0,3867;-0,3782;0,9831;1,122
169,564;0,3382;-0,3827;0,9226;1,055
169,579;0,258;-0,2992;0,8718;0,957
169,612;0,234;-0,245;0,9169;0,977
169,627;0,2474;-0,2878;0,9499;1,023
169,645;0,2492;-0,3287;0,9359;1,023
169,659;0,2022;-0,3419;0,9036;0,987
169,689;0,1675;-0,3473;0,8968;0,976
169,707;0,1606;-0,3381;0,9582;1,029
169,721;0,2161;-0,3235;0,9958;1,069
169,756;0,2446;-0,339;0,985;1,07
169,771;0,1931;-0,343;0,9816;1,058
169,784;0,147;-0,3794;1,0282;1,106
169,801;0,1368;-0,4022;1,0797;1,16
169,833;0,1964;-0,3377;1,0481;1,119
169,852;0,2505;-0,1778;1,0274;1,072
169,866;0,2576;-0,0495;0,9558;0,991
169,898;0,2657;-0,0337;0,8038;0,847
169,915;0,2516;-0,1345;0,689;0,746
169,928;0,1847;-0,2169;0,6035;0,667
169,944;0,1155;-0,2191;0,5633;0,615
169,976;0,0925;-0,1631;0,5824;0,612
169,994;0,0775;-0,1556;0,695;0,716
170,007;0,1162;-0,1586;0,7681;0,793
170,021;-0,1107;-0,5426;1,1638;1,289
170,054;-0,0016;-0,4229;1,0042;1,09
170,074;0,0878;-0,5578;1,0666;1,207
170,087;-0,4183;-0,8255;1,9324;2,143
170,117;-0,0129;-0,7416;1,4145;1,597
170,134;0,342;-0,1908;0,613;0,727
170,155;0,3716;-0,0236;0,6149;0,719
170,165;0,2972;-0,0868;0,6103;0,684
170,196;-0,4083;0,0765;0,8135;0,913
170,214;-0,1562;0,0505;0,8809;0,896
170,227;0,075;-0,1122;0,9243;0,934
170,244;-0,1983;-0,05;0,8725;0,896
170,276;-0,3074;-0,0895;0,8483;0,907
170,292;-0,1996;-0,1849;0,9312;0,97
170,309;-0,0487;-0,1674;0,9323;0,948
170,338;-0,0661;-0,1697;0,8989;0,917
170,354;-0,0984;-0,1433;0,9412;0,957
170,373;-0,2305;-0,0578;0,9417;0,971
170,385;-0,2696;-0,0051;0,8249;0,868
170,42;-0,2043;0,0289;0,9076;0,931
170,434;-0,2544;0,2059;0,9182;0,975
170,448;-0,2256;0,2495;0,9094;0,97
170,467;-0,0442;0,0716;0,8528;0,857
170,497;0,0051;-0,1939;0,7907;0,814
170,514;-0,1645;0,0499;0,9267;0,943
170,531;-0,2734;0,4683;0,8834;1,037
170,56;-0,1425;0,3744;0,8656;0,954
170,576;-0,0658;0,0558;1,011;1,015
170,592;-0,0885;-0,1054;1,0602;1,069
170,613;-0,1564;-0,049;0,9659;0,98
170,641;-0,1365;-0,0926;0,9156;0,93
170,656;-0,0457;-0,1532;0,9491;0,962
170,669;0,022;-0,1092;0,9043;0,911
170,686;0,037;-0,0455;0,9529;0,955
170,721;0,0386;-0,0733;1,0287;1,032
170,738;0,0821;-0,1215;1,0273;1,038
170,768;0,1379;-0,1517;1,0112;1,032
170,785;0,1464;-0,1674;0,9996;1,024
170,796;0,1202;-0,1693;0,987;1,009
170,812;0,1423;-0,1442;0,9833;1,004
170,832;0,2041;-0,1639;0,9829;1,017
170,861;0,203;-0,1834;0,9836;1,021
170,878;0,1679;-0,2179;1,0351;1,071
170,897;0,1358;-0,2161;1,0856;1,115
170,909;0,1211;-0,1625;1,0439;1,063
170,943;0,1598;-0,0705;0,9896;1,005
170,96;0,2688;-0,0381;0,9721;1,009
170,97;0,3461;-0,0579;0,9901;1,05
171,005;0,3386;-0,094;1,0342;1,092
171,019;0,2784;-0,0893;1,0394;1,08
171,035;0,2448;-0,0743;1,0034;1,036
171,054;0,2414;-0,116;0,9546;0,991
171,082;0,2499;-0,1866;0,9447;0,995
171,097;0,2216;-0,2188;0,9798;1,028
171,114;0,1893;-0,1839;0,9754;1,011
171,15;0,1582;-0,1192;0,9851;1,005
171,16;0,1394;-0,0727;0,9964;1,009
171,186;0,1499;-0,0275;0,9819;0,994
171,205;0,1883;0,0195;0,9713;0,99
171,223;0,2014;0,0551;0,9691;0,991
171,238;0,2626;0,0209;0,9526;0,988
171,264;0,3216;-0,0527;0,8992;0,956
171,273;0,3608;-0,1474;0,9102;0,99
171,309;0,3662;-0,2111;0,983;1,07
171,319;0,3198;-0,2093;1,0082;1,078
171,335;0,3052;-0,223;0,9729;1,044
171,37;0,3535;-0,2266;0,9638;1,051
171,381;0,3132;-0,1962;1,0075;1,073
171,4;0,2523;-0,1573;1,0322;1,074
171,419;0,2367;-0,1228;1,0097;1,044
171,447;0,2542;-0,0624;0,9512;0,987
171,463;0,283;-0,038;0,9371;0,98
171,478;0,2522;-0,0294;0,9796;1,012
171,493;0,3148;-0,114;0,9678;1,024
171,527;0,1883;-0,0135;0,9747;0,993
171,541;0,1932;0,0431;0,9269;0,948
171,557;0,2112;-0,0225;0,8658;0,891
171,589;0,2393;-0,0666;0,8741;0,909
171,608;0,1194;-0,0859;0,9297;0,941
171,623;0,0471;-0,1008;0,9518;0,958
171,636;0,0354;-0,0724;0,9261;0,93
171,666;-0,0044;-0,0538;0,9625;0,964
171,684;-0,0418;0,0637;0,9782;0,981
171,701;-0,0657;0,2687;0,8887;0,931
171,714;-0,4388;0,6765;0,7085;1,073
171,755;0,0515;0,4674;0,8974;1,013
171,761;-0,0528;0,1011;0,9196;0,927
171,782;-0,1497;-0,1741;0,915;0,943
171,811;-0,0242;-0,3377;1,0562;1,109
171,825;0,1065;-0,2964;1,226;1,266
171,843;0,2751;-0,254;1,4272;1,476
171,86;0,136;-0,3188;1,2321;1,28
171,888;-0,0471;-0,2844;0,9362;0,98
171,907;-0,0467;-0,0969;0,9866;0,992
171,921;-0,0048;-0,0196;1,0234;1,024
171,942;-0,0564;-0,1142;1,0281;1,036
171,97;-0,0947;-0,2703;1,0302;1,069
171,982;-0,11;-0,3692;0,9605;1,035
172,002;-0,1438;-0,3518;0,8726;0,952
172,03;-0,046;-0,2615;0,8674;0,907
172,047;0,0718;-0,1364;0,9282;0,941
172,061;0,0537;-0,0676;0,9609;0,965
172,078;-0,0759;-0,0883;1,0259;1,032
172,111;-0,1899;-0,0717;0,9972;1,018
172,128;-0,2347;-0,0741;0,9344;0,966
172,14;-0,299;-0,1081;0,9043;0,959
172,157;-0,3481;-0,0863;0,9062;0,975
172,19;-0,3096;-0,0762;0,9896;1,04
172,206;-0,2657;-0,0694;0,9163;0,957
172,223;-0,2968;-0,066;0,8178;0,872
172,255;-0,2891;-0,0923;0,87;0,921
172,274;-0,2745;-0,1132;0,8734;0,923
172,285;-0,2434;-0,14;0,8492;0,894
172,301;-0,2244;-0,1516;0,8484;0,891
172,333;-0,2212;-0,1271;0,848;0,886
172,348;-0,2105;-0,1263;0,8347;0,87
172,365;-0,1759;-0,1173;0,8261;0,853
172,379;-0,1755;-0,1097;0,8546;0,879
172,41;-0,219;-0,1467;0,8762;0,915
172,427;-0,2308;-0,1893;0,864;0,914
172,445;-0,2064;-0,2157;0,8382;0,89
172,473;-0,1628;-0,23;0,8095;0,857
172,493;-0,124;-0,2092;0,8242;0,859
172,507;-0,0946;-0,1825;0,8552;0,88
172,523;-0,0947;-0,176;0,8658;0,889
172,555;-0,1184;-0,2118;0,8344;0,869
172,571;-0,1005;-0,2268;0,8076;0,845
172,59;-0,0762;-0,2064;0,8243;0,853
172,601;-0,0551;-0,1783;0,8614;0,881
172,634;-0,0264;-0,1666;0,906;0,922
172,65;-0,0138;-0,173;0,9391;0,955
172,669;-0,0118;-0,1933;0,9464;0,966
172,703;-0,0094;-0,2084;0,8929;0,917
172,711;0,0074;-0,1842;0,8462;0,866
172,73;0,0125;-0,1635;0,8802;0,895
172,749;0,0145;-0,1755;0,9398;0,956
172,776;0,0308;-0,1776;0,9846;1,001
172,792;0,0393;-0,1776;1,0122;1,028
172,808;0,0384;-0,1999;1,0256;1,046
172,824;0,0633;-0,2541;1,0449;1,077
172,854;0,1214;-0,2774;1,0221;1,066
172,874;0,126;-0,2355;0,9841;1,02
172,887;0,1246;-0,2087;0,9914;1,021
172,918;0,1296;-0,1934;1,0139;1,04
172,934;0,1546;-0,1985;0,9976;1,029
172,948;0,1914;-0,2236;0,9668;1,011
172,963;0,1958;-0,229;0,954;1
172,997;0,1786;-0,1835;0,9136;0,949
173,012;0,1455;-0,1616;0,9373;0,962
173,027;0,1074;-0,2067;0,9825;1,01
173,043;0,0901;-0,2702;1,0193;1,058
173,074;0,0894;-0,2408;1,0117;1,044
173,091;0,128;-0,1982;0,9859;1,014
173,108;0,1416;-0,1627;0,955;0,979
173,14;0,1785;-0,1382;0,9803;1,006
173,154;0,2129;-0,1747;1,0431;1,079
173,174;0,1988;-0,2202;1,0568;1,098
173,186;0,223;-0,2167;0,9441;0,994
173,24;0,269;-0,1801;0,8534;0,913
173,241;0,3235;-0,0887;0,9435;1,001
173,247;0,3298;-0,0519;1,0455;1,098
173,263;0,3089;-0,1357;1,0613;1,114
173,298;0,2912;-0,1862;1,0238;1,081
173,314;0,2949;-0,1813;0,9824;1,042
173,329;0,3704;-0,1515;0,9457;1,027
173,359;0,4219;-0,116;0,8925;0,994
173,375;0,4141;-0,1432;0,8894;0,991
173,393;0,3869;-0,2115;0,9034;1,005
173,407;0,3771;-0,243;0,8946;1,001
173,44;0,3541;-0,2116;0,872;0,965
173,457;0,3505;-0,1711;0,8961;0,977
173,471;0,4065;-0,133;0,9371;1,03
173,489;0,3877;-0,1232;0,9364;1,021
173,519;0,3253;-0,1745;0,9303;1,001
173,534;0,3089;-0,2229;0,9229;0,998
173,55;0,3345;-0,187;0,8796;0,959
173,582;0,3193;-0,1383;0,8512;0,92
173,597;0,2733;-0,0988;0,9055;0,951
173,619;0,263;-0,0848;0,9241;0,965
173,627;0,2638;-0,1067;0,9149;0,958
173,662;0,2283;-0,1807;0,9609;1,004
173,676;0,1985;-0,2286;0,9738;1,02
173,691;0,1903;-0,1695;0,968;1,001
173,708;0,1972;-0,0583;0,9348;0,957
173,741;0,1574;-0,0458;0,9022;0,917
173,754;0,1045;-0,1122;0,9532;0,965
173,773;0,1055;-0,131;0,991;1,005
173,803;0,1235;-0,0593;0,9682;0,978
173,819;0,0926;0,0093;0,9202;0,925
173,833;0,0598;0,011;0,8925;0,895
173,852;0,0616;0,0076;0,9361;0,938
173,882;0,0273;0,0012;1,0111;1,011
173,9;0,029;-0,0055;0,976;0,976
173,912;0,0438;0,0028;0,9429;0,944
173,928;0,072;0,0058;0,9343;0,937
173,963;0,0651;-0,048;0,9421;0,946
173,976;0,0539;-0,0562;0,9316;0,935
173,994;0,0693;-0,0166;0,9273;0,93
174,027;0,091;-0,028;0,9267;0,932
174,042;0,0659;-0,0404;0,9362;0,939
174,056;0,0808;-0,0055;0,9325;0,936
174,075;0,092;-0,0007;0,9334;0,938
174,106;0,095;-0,0098;0,9468;0,952
174,122;0,0882;-0,0089;0,9588;0,963
174,135;0,0613;-0,0079;0,9591;0,961
174,155;0,0352;-0,004;0,9655;0,966
174,181;0,0503;0,0241;0,9323;0,934
174,198;0,0652;0,0108;0,9365;0,939
174,215;0,1091;0,026;0,9242;0,931
174,247;0,1382;0,0378;0,8912;0,903
174,261;0,1076;0,0275;0,9143;0,921
174,276;0,1067;0,017;0,958;0,964
174,301;0,1326;-0,0294;1,0057;1,015
174,325;0,1394;-0,0646;1,0672;1,078
174,339;0,1804;-0,2062;1,2251;1,255
174,356;0,1808;-0,1662;1,102;1,129
174,389;0,1425;-0,027;1,0276;1,038
174,404;0,1159;0,0808;0,883;0,894
174,422;0,0358;0,1305;0,8349;0,846
174,439;-0,0937;0,1623;0,8192;0,84
174,466;-0,1868;0,223;0,8477;0,896
174,488;-0,2377;0,246;0,8964;0,959
174,501;-0,2464;0,1901;0,8477;0,903
174,514;-0,2375;0,1775;0,8013;0,854
174,55;-0,1892;0,0389;0,9363;0,956
174,565;-0,1712;0,0414;0,8887;0,906
174,578;-0,1114;0,0209;0,862;0,869
174,614;-0,1554;-0,1088;0,9766;0,995
174,624;-0,0272;-0,0125;0,8926;0,893
174,641;-0,0444;-0,0401;0,8837;0,886
174,658;-0,0678;-0,095;0,8759;0,884
174,69;0,0772;0,0203;0,9108;0,914
174,704;0,3116;0,0501;0,9944;1,043
174,72;0,3527;-0,0355;0,9067;0,973
174,743;0,3134;-0,098;0,9216;0,978
174,77;0,3323;-0,0952;0,9157;0,979
174,783;0,2836;-0,1297;0,9517;1,002
174,804;0,2418;-0,0755;0,9926;1,024
174,831;0,275;-0,0161;1,0362;1,072
174,849;0,2407;-0,0385;1,0526;1,08
174,864;0,1864;-0,0361;1,0391;1,056
174,887;0,116;-0,0036;0,9859;0,993
174,91;0,0929;0,0473;0,9295;0,935
174,926;0,0733;0,1004;0,9195;0,928
174,942;0,0233;0,0901;0,9567;0,961
174,957;0,0222;0,1057;0,9402;0,946
174,989;0,0558;0,1278;0,9303;0,941
175,009;0,0367;0,1117;0,925;0,932
175,02;0,039;0,0861;0,9352;0,94
175,053;0,0588;0,0702;0,9578;0,962
175,068;0,0812;0,0581;0,9599;0,965
175,086;0,1313;0,0384;0,9796;0,989
175,103;0,1814;0,017;1,0232;1,039
175,131;0,1854;-0,0947;1,0318;1,053
175,15;0,1073;-0,1878;0,9799;1,004
175,165;0,0691;-0,2197;0,9865;1,013
175,181;0,0552;-0,1297;0,943;0,953
175,212;0,0361;-0,0836;0,8881;0,893
175,259;-0,0524;-0,0261;0,9087;0,911
175,266;-0,0258;0,0171;0,9712;0,972
175,272;0,02;0,0449;1,018;1,019
175,288;0,0374;0,1358;0,9329;0,943
175,307;0,0108;0,2341;0,9085;0,938
175,327;0,0049;0,3015;0,843;0,895
175,354;0,0719;0,267;0,9284;0,969
175,369;0,143;0,2158;0,989;1,022
175,385;0,1719;0,2227;1,0072;1,046
175,399;0,194;0,2396;0,9971;1,044
175,431;0,2007;0,256;0,9984;1,05
175,454;0,1336;0,2883;0,9751;1,026
175,462;0,0674;0,2393;1,0064;1,037
175,496;0,0483;0,239;0,9832;1,013
175,515;0,0944;0,2325;0,9235;0,957
175,528;0,1298;0,1561;0,8921;0,915
175,546;0,1414;0,0979;0,9121;0,928
175,576;0,1568;0,1068;0,8864;0,907
175,59;0,1879;0,1282;0,8072;0,839
175,606;0,2261;0,106;0,7897;0,828
175,621;0,1961;0,0861;0,8089;0,837
175,654;0,1352;0,0659;0,8295;0,843
175,669;0,1366;0,0574;0,8241;0,837
175,685;0,2041;0,1096;0,7804;0,814
175,719;0,2551;0,1864;0,7325;0,798
175,734;0,2653;0,1632;0,6892;0,756
175,748;0,3592;0,1877;0,7219;0,828
175,764;0,3894;0,194;0,747;0,864
175,795;0,4637;0,2048;0,8284;0,971
175,816;0,4392;0,2916;0,8124;0,968
175,826;0,4477;0,3409;0,8062;0,983
175,842;0,485;0,3851;0,9007;1,093
175,876;0,5032;0,3773;1,0097;1,19
175,89;0,3945;0,5035;0,99;1,179
175,906;0,3026;0,6217;1,0957;1,296
